ID,AdmArea,Month,Year,TotalAmount,Suppliers,global_id
10,Зеленоградский административный округ,Апрель,2016,332136628,"Supplier:ОАО «МОЭК»
Amount:127399919

Supplier:Газпром межрегионгаз Москва
Amount:144585.34

Supplier:Мосводоканал
Amount:3.687508593E7

Supplier:управляющие компании
Amount:9.372527609E7

Supplier:Ростелеком
Amount:1.420446129E7

Supplier:РСВО
Amount:3108676.61

Supplier:прочие
Amount:5.667862374E7

",171671242
11,Новомосковский административный округ,Апрель,2016,110671303,"Supplier:Мосводоканал
Amount:8261933

Supplier:управляющие компании
Amount:30504407

Supplier:прочие
Amount:71904963

",171671243
12,Троицкий административный округ,Апрель,2016,66441783,"Supplier:Мосводоканал
Amount:5501749

Supplier:управляющие компании
Amount:13131544

Supplier:прочие
Amount:47808490

",171671244
13,Центральный административный округ,Май,2016,1046211200,"Supplier:ОАО «МОЭК»
Amount:360724814

Supplier:Газпром межрегионгаз Москва
Amount:19218943

Supplier:Мосводоканал
Amount:108936326

Supplier:управляющие компании
Amount:327835177

Supplier:Ростелеком
Amount:31327001

Supplier:РСВО
Amount:8473358

Supplier:прочие
Amount:189695581

",171671245
14,Северный административный округ,Май,2016,1418905219,"Supplier:ОАО «МОЭК»
Amount:551229008

Supplier:Газпром межрегионгаз Москва
Amount:24797585

Supplier:Мосводоканал
Amount:154883240

Supplier:управляющие компании
Amount:376914955

Supplier:Ростелеком
Amount:53844889

Supplier:РСВО
Amount:13239317

Supplier:прочие
Amount:243996225

",171671246
15,Северо-Восточный административный округ,Май,2016,1608130413,"Supplier:ОАО «МОЭК»
Amount:600053434

Supplier:Газпром межрегионгаз Москва
Amount:18202154

Supplier:Мосводоканал
Amount:175201183

Supplier:управляющие компании
Amount:469742850

Supplier:Ростелеком
Amount:62525941

Supplier:РСВО
Amount:14840834

Supplier:прочие
Amount:267564017

",171671247
16,Восточный административный округ,Май,2016,1825260022,"Supplier:ОАО «МОЭК»
Amount:665171133

Supplier:Мосэнергосбыт
Amount:34607419

Supplier:Газпром межрегионгаз Москва
Amount:35714816

Supplier:Мосводоканал
Amount:198663949

Supplier:управляющие компании
Amount:504650560

Supplier:Ростелеком
Amount:71863099

Supplier:РСВО
Amount:14468605

Supplier:прочие
Amount:300120441

",171671248
17,Юго-Восточный административный округ,Май,2016,1694719212,"Supplier:ОАО «МОЭК»
Amount:590280041

Supplier:Мосэнергосбыт
Amount:44029611

Supplier:Газпром межрегионгаз Москва
Amount:22811278

Supplier:Мосводоканал
Amount:170521924

Supplier:управляющие компании
Amount:516309926

Supplier:Ростелеком
Amount:1221610

Supplier:РСВО
Amount:12901543

Supplier:прочие
Amount:336643279

",171671249
18,Южный административный округ,Май,2016,1886927998,"Supplier:ОАО «МОЭК»
Amount:769895683

Supplier:Газпром межрегионгаз Москва
Amount:26067598

Supplier:Мосводоканал
Amount:205414892

Supplier:управляющие компании
Amount:446205249

Supplier:Ростелеком
Amount:75579577

Supplier:РСВО
Amount:16798149

Supplier:прочие
Amount:346966850

",171671250
19,Юго-Западный административный округ,Май,2016,1733572340,"Supplier:ОАО «МОЭК»
Amount:667996284

Supplier:Газпром межрегионгаз Москва
Amount:17402034

Supplier:Мосводоканал
Amount:178677421

Supplier:управляющие компании
Amount:496548542

Supplier:Ростелеком
Amount:70076625

Supplier:РСВО
Amount:14808993

Supplier:прочие
Amount:288062441

",171671251
20,Западный административный округ,Май,2016,1427835744,"Supplier:ОАО «МОЭК»
Amount:507524913

Supplier:Газпром межрегионгаз Москва
Amount:19790724

Supplier:Мосводоканал
Amount:148937094

Supplier:управляющие компании
Amount:381754328

Supplier:Ростелеком
Amount:56056987

Supplier:РСВО
Amount:12483942

Supplier:прочие
Amount:301287756

",171671252
21,Северо-Западный административный округ,Май,2016,1032963856,"Supplier:ОАО «МОЭК»
Amount:372662861

Supplier:Газпром межрегионгаз Москва
Amount:13742760

Supplier:Мосводоканал
Amount:107001569

Supplier:управляющие компании
Amount:303639818

Supplier:Ростелеком
Amount:40869350

Supplier:РСВО
Amount:9583153

Supplier:прочие
Amount:185464345

",171671253
22,Зеленоградский административный округ,Май,2016,336461794,"Supplier:ОАО «МОЭК»
Amount:132045411

Supplier:Газпром межрегионгаз Москва
Amount:145377

Supplier:Мосводоканал
Amount:37490069

Supplier:управляющие компании
Amount:92760651

Supplier:Ростелеком
Amount:14254519

Supplier:РСВО
Amount:3096578

Supplier:прочие
Amount:56669189

",171671254
23,Новомосковский административный округ,Май,2016,117810780,"Supplier:Мосводоканал
Amount:7874274

Supplier:управляющие компании
Amount:40784039

Supplier:прочие
Amount:69152466

",171671255
24,Троицкий административный округ,Май,2016,70173639,"Supplier:Мосводоканал
Amount:5820952

Supplier:управляющие компании
Amount:18010115

Supplier:прочие
Amount:46342573

",171671256
25,Центральный административный округ,Июнь,2016,1035468984,"Supplier:ОАО «МОЭК»
Amount:354354753

Supplier:Газпром межрегионгаз Москва
Amount:19157105

Supplier:Мосводоканал
Amount:107730602

Supplier:управляющие компании
Amount:325142893

Supplier:Ростелеком
Amount:31415891

Supplier:РСВО
Amount:8364780

Supplier:прочие
Amount:189302960

",171671257
26,Северный административный округ,Июнь,2016,1395973218,"Supplier:ОАО «МОЭК»
Amount:531489644

Supplier:Газпром межрегионгаз Москва
Amount:24761023

Supplier:Мосводоканал
Amount:151345173

Supplier:управляющие компании
Amount:377382222

Supplier:Ростелеком
Amount:54209756

Supplier:РСВО
Amount:13077166

Supplier:прочие
Amount:243708234

",171671258
27,Северо-Восточный административный округ,Июнь,2016,1578636903,"Supplier:ОАО «МОЭК»
Amount:578830604

Supplier:Газпром межрегионгаз Москва
Amount:18191418

Supplier:Мосводоканал
Amount:168752728

Supplier:управляющие компании
Amount:466856716

Supplier:Ростелеком
Amount:62918452

Supplier:РСВО
Amount:14783885

Supplier:прочие
Amount:268303100

",171671259
28,Восточный административный округ,Июнь,2016,1795163778,"Supplier:ОАО «МОЭК»
Amount:644861095

Supplier:Мосэнергосбыт
Amount:31850615

Supplier:Газпром межрегионгаз Москва
Amount:35541519

Supplier:Мосводоканал
Amount:192644227

Supplier:управляющие компании
Amount:502480524

Supplier:Ростелеком
Amount:72099727

Supplier:РСВО
Amount:14454212

Supplier:прочие
Amount:301231859

",171671260
29,Юго-Восточный административный округ,Июнь,2016,1659457540,"Supplier:ОАО «МОЭК»
Amount:567696812

Supplier:Мосэнергосбыт
Amount:42144369

Supplier:Газпром межрегионгаз Москва
Amount:22758663

Supplier:Мосводоканал
Amount:163814381

Supplier:управляющие компании
Amount:512534588

Supplier:Ростелеком
Amount:1243358

Supplier:РСВО
Amount:12809871

Supplier:прочие
Amount:336455498

",171671261
30,Южный административный округ,Июнь,2016,1845444457,"Supplier:ОАО «МОЭК»
Amount:737971297

Supplier:Газпром межрегионгаз Москва
Amount:26047008

Supplier:Мосводоканал
Amount:197712066

Supplier:управляющие компании
Amount:478316109

Supplier:Ростелеком
Amount:75641804

Supplier:РСВО
Amount:16824311

Supplier:прочие
Amount:312931862

",171671262
31,Юго-Западный административный округ,Июнь,2016,1708870209,"Supplier:ОАО «МОЭК»
Amount:647710287

Supplier:Газпром межрегионгаз Москва
Amount:17438245

Supplier:Мосводоканал
Amount:173986137

Supplier:управляющие компании
Amount:482866716

Supplier:Ростелеком
Amount:70378476

Supplier:РСВО
Amount:14781377

Supplier:прочие
Amount:301708971

",171671263
32,Западный административный округ,Июнь,2016,1399188285,"Supplier:ОАО «МОЭК»
Amount:487401040

Supplier:Газпром межрегионгаз Москва
Amount:19860427

Supplier:Мосводоканал
Amount:145423664

Supplier:управляющие компании
Amount:379631398

Supplier:Ростелеком
Amount:56183339

Supplier:РСВО
Amount:12446162

Supplier:прочие
Amount:298242255

",171671264
33,Северо-Западный административный округ,Июнь,2016,1008979222,"Supplier:ОАО «МОЭК»
Amount:357651365

Supplier:Газпром межрегионгаз Москва
Amount:13796004

Supplier:Мосводоканал
Amount:105267179

Supplier:управляющие компании
Amount:299346023

Supplier:Ростелеком
Amount:41099052

Supplier:РСВО
Amount:9538307

Supplier:прочие
Amount:182281292

",171671265
34,Зеленоградский административный округ,Июнь,2016,329023226,"Supplier:ОАО «МОЭК»
Amount:127496651

Supplier:Газпром межрегионгаз Москва
Amount:144264

Supplier:Мосводоканал
Amount:36688122

Supplier:управляющие компании
Amount:90815288

Supplier:Ростелеком
Amount:14215363

Supplier:РСВО
Amount:3069617

Supplier:прочие
Amount:56593921

",171671266
35,Новомосковский административный округ,Июнь,2016,111595303,"Supplier:Мосводоканал
Amount:10145327

Supplier:управляющие компании
Amount:40573999

Supplier:прочие
Amount:60875977

",171671267
36,Троицкий административный округ,Июнь,2016,64914899,"Supplier:Мосводоканал
Amount:5993111

Supplier:управляющие компании
Amount:18123295

Supplier:прочие
Amount:40798493

",171671268
37,Центральный административный округ,Июль,2016,1,"Supplier:ОАО «МОЭК»
Amount:3.5225817823E8

Supplier:Газпром межрегионгаз Москва
Amount:1.905217896E7

Supplier:Мосводоканал
Amount:1

Supplier:управляющие компании
Amount:4.9621210299E8

Supplier:Ростелеком
Amount:3.12503629E7

Supplier:РСВО
Amount:8318287.47

Supplier:прочие
Amount:1.544101799E7

",278939752
38,Северный административный округ,Июль,2016,1.38714953941E9,"Supplier:ОАО «МОЭК»
Amount:5.2812206909E8

Supplier:Газпром межрегионгаз Москва
Amount:2.463140327E7

Supplier:Мосводоканал
Amount:1.5016582901E8

Supplier:управляющие компании
Amount:5.8679429185E8

Supplier:Ростелеком
Amount:5.392586763E7

Supplier:РСВО
Amount:1.300156486E7

Supplier:прочие
Amount:3

",278939753
39,Северо-Восточный административный округ,Июль,2016,1.57084091721E9,"Supplier:ОАО «МОЭК»
Amount:5.7579066355E8

Supplier:Газпром межрегионгаз Москва
Amount:1.810565394E7

Supplier:Мосводоканал
Amount:1.6766624764E8

Supplier:управляющие компании
Amount:6.9501900025E8

Supplier:Ростелеком
Amount:6.266269196E7

Supplier:РСВО
Amount:1.472087986E7

Supplier:прочие
Amount:3.687578001E7

",278939754
40,Восточный административный округ,Июль,2016,1.78303881631E9,"Supplier:ОАО «МОЭК»
Amount:6.4007588727E8

Supplier:Мосэнергосбыт
Amount:3.161459322E7

Supplier:Газпром межрегионгаз Москва
Amount:3.533152685E7

Supplier:Мосводоканал
Amount:1.908558575E8

Supplier:управляющие компании
Amount:7.5221606326E8

Supplier:Ростелеком
Amount:7.170843659E7

Supplier:РСВО
Amount:9235937.88

Supplier:прочие
Amount:4.686090208E7

",278939755
41,Юго-Восточный административный округ,Июль,2016,1.65286657467E9,"Supplier:ОАО «МОЭК»
Amount:3722.64

Supplier:Газпром межрегионгаз Москва
Amount:150009.56

Supplier:Газпром межрегионгаз Москва
Amount:2.267984249E7

Supplier:Мосводоканал
Amount:1.6282960054E8

Supplier:управляющие компании
Amount:7.4934279476E8

Supplier:РСВО
Amount:2997520.73

Supplier:РСВО
Amount:1.232613429E7

Supplier:прочие
Amount:9.744160914E7

",278939756
42,Южный административный округ,Июль,2016,1.83621966798E9,"Supplier:ОАО «МОЭК»
Amount:7.3415204565E8

Supplier:Газпром межрегионгаз Москва
Amount:2.592600861E7

Supplier:Мосводоканал
Amount:6090667

Supplier:управляющие компании
Amount:7.5178518732E8

Supplier:Ростелеком
Amount:7.413500258E7

Supplier:РСВО
Amount:1.276709262E7

Supplier:прочие
Amount:4

",278939757
43,Юго-Западный административный округ,Июль,2016,1.69522652604E9,"Supplier:ОАО «МОЭК»
Amount:6.4211034602E8

Supplier:Газпром межрегионгаз Москва
Amount:1.729406655E7

Supplier:Мосводоканал
Amount:1.7213209837E8

Supplier:управляющие компании
Amount:7.4469271707E8

Supplier:Ростелеком
Amount:6.989711321E7

Supplier:РСВО
Amount:1.467229582E7

Supplier:прочие
Amount:34427889

",278939758
44,Западный административный округ,Июль,2016,1.39022915554E9,"Supplier:ОАО «МОЭК»
Amount:4.8414050592E8

Supplier:Газпром межрегионгаз Москва
Amount:1.974056336E7

Supplier:Мосводоканал
Amount:1.4429187827E8

Supplier:управляющие компании
Amount:6.1684418363E8

Supplier:Ростелеком
Amount:5.586232694E7

Supplier:РСВО
Amount:1.237076601E7

Supplier:прочие
Amount:5.697893141E7

",278939759
45,Северо-Западный административный округ,Июль,2016,1003355026,"Supplier:ОАО «МОЭК»
Amount:3.5560929294E8

Supplier:Газпром межрегионгаз Москва
Amount:1.373453287E7

Supplier:Мосводоканал
Amount:1

Supplier:управляющие компании
Amount:4.6004994603E8

Supplier:Ростелеком
Amount:4

Supplier:РСВО
Amount:9487445.27

Supplier:прочие
Amount:1.89814912E7

",278939760
46,Зеленоградский административный округ,Июль,2016,3.2761417564E8,"Supplier:ОАО «МОЭК»
Amount:1.2692846841E8

Supplier:Газпром межрегионгаз Москва
Amount:143712.1

Supplier:Мосводоканал
Amount:3.651148111E7

Supplier:управляющие компании
Amount:1.3509839594E8

Supplier:Ростелеком
Amount:1.416310734E7

Supplier:РСВО
Amount:3055911

Supplier:прочие
Amount:1.171309971E7

",278939761
47,Новомосковский административный округ,Июль,2016,108434946,"Supplier:Мосводоканал
Amount:9456576.87

Supplier:управляющие компании
Amount:7.907389865E7

Supplier:прочие
Amount:1.990447048E7

",278939762
48,Троицкий административный округ,Июль,2016,6.391082008E7,"Supplier:Мосводоканал
Amount:5904141.67

Supplier:управляющие компании
Amount:3.988612614E7

Supplier:прочие
Amount:1.812055227E7

",278939763
49,Центральный административный округ,Август,2016,1029563915,"Supplier:ОАО «МОЭК»
Amount:3.485051833E8

Supplier:Газпром межрегионгаз Москва
Amount:1.882323504E7

Supplier:Мосводоканал
Amount:1

Supplier:управляющие компании
Amount:5

Supplier:Ростелеком
Amount:3

Supplier:РСВО
Amount:8016069.9

Supplier:прочие
Amount:1.309466906E7

",278939764
50,Северный административный округ,Август,2016,1396443463,"Supplier:ОАО «МОЭК»
Amount:5.117896893E8

Supplier:Газпром межрегионгаз Москва
Amount:2.458537748E7

Supplier:Мосводоканал
Amount:1.4552115059E8

Supplier:управляющие компании
Amount:6.2188370099E8

Supplier:Ростелеком
Amount:5.277288896E7

Supplier:РСВО
Amount:1.259942843E7

Supplier:прочие
Amount:2.729122725E7

",278939765
51,Северо-Восточный административный округ,Август,2016,1572388484,"Supplier:ОАО «МОЭК»
Amount:5.5245990218E8

Supplier:Газпром межрегионгаз Москва
Amount:1.802950593E7

Supplier:Мосводоканал
Amount:1.6059280373E8

Supplier:управляющие компании
Amount:7.3157770071E8

Supplier:Ростелеком
Amount:6.100105838E7

Supplier:РСВО
Amount:1.427426991E7

Supplier:прочие
Amount:3.445324316E7

",278939766
52,Восточный административный округ,Август,2016,1811417636,"Supplier:ОАО «МОЭК»
Amount:6.3193189281E8

Supplier:Мосэнергосбыт
Amount:3.298298368E7

Supplier:Газпром межрегионгаз Москва
Amount:3.56094993E7

Supplier:Мосводоканал
Amount:1.8925585175E8

Supplier:управляющие компании
Amount:7.9448908366E8

Supplier:Ростелеком
Amount:7

Supplier:РСВО
Amount:1.394666791E7

Supplier:прочие
Amount:4.277987453E7

",278939767
53,Юго-Восточный административный округ,Август,2016,1659243008,"Supplier:ОАО «МОЭК»
Amount:5.4732984968E8

Supplier:Мосэнергосбыт
Amount:4.138331607E7

Supplier:Газпром межрегионгаз Москва
Amount:2.250999735E7

Supplier:Мосводоканал
Amount:1.5850374285E8

Supplier:управляющие компании
Amount:7.8853146094E8

Supplier:Ростелеком
Amount:1201279.18

Supplier:РСВО
Amount:1.232613429E7

Supplier:прочие
Amount:8.745722764E7

",278939768
54,Южный административный округ,Август,2016,1866206721,"Supplier:ОАО «МОЭК»
Amount:7.1871581355E8

Supplier:Газпром межрегионгаз Москва
Amount:2.594394313E7

Supplier:Мосводоканал
Amount:1.9653261635E8

Supplier:управляющие компании
Amount:7.9561781709E8

Supplier:Ростелеком
Amount:7.413500258E7

Supplier:РСВО
Amount:1.623533033E7

Supplier:прочие
Amount:3.902619797E7

",278939769
55,Юго-Западный административный округ,Август,2016,1714265991,"Supplier:ОАО «МОЭК»
Amount:6.2491371126E8

Supplier:Газпром межрегионгаз Москва
Amount:1.728782395E7

Supplier:Мосводоканал
Amount:1.7148428417E8

Supplier:управляющие компании
Amount:7.8989680745E8

Supplier:Ростелеком
Amount:6.831875385E7

Supplier:РСВО
Amount:1.428432242E7

Supplier:прочие
Amount:2.80802879E7

",278939770
56,Западный административный округ,Август,2016,1413210959,"Supplier:ОАО «МОЭК»
Amount:4.7887827877E8

Supplier:Газпром межрегионгаз Москва
Amount:1.970833603E7

Supplier:Мосводоканал
Amount:1.4138717206E8

Supplier:управляющие компании
Amount:6.4722325403E8

Supplier:Ростелеком
Amount:5.501586405E7

Supplier:РСВО
Amount:1.208331336E7

Supplier:прочие
Amount:5.89147407E7

",278939771
57,Северо-Западный административный округ,Август,2016,1013352313,"Supplier:ОАО «МОЭК»
Amount:3.4439872526E8

Supplier:Газпром межрегионгаз Москва
Amount:1.379192219E7

Supplier:Мосводоканал
Amount:1

Supplier:управляющие компании
Amount:4.8527254549E8

Supplier:Ростелеком
Amount:4

Supplier:РСВО
Amount:9267514.61

Supplier:прочие
Amount:1.776759406E7

",278939772
58,Зеленоградский административный округ,Август,2016,333175975,"Supplier:ОАО «МОЭК»
Amount:49089

Supplier:Газпром межрегионгаз Москва
Amount:146817.36

Supplier:Мосводоканал
Amount:3.48257947E7

Supplier:управляющие компании
Amount:1.7589389878E8

Supplier:Ростелеком
Amount:1.396927317E7

Supplier:РСВО
Amount:2997800.7

Supplier:прочие
Amount:1

",278939773
59,Новомосковский административный округ,Август,2016,1.1627422286E8,"Supplier:Мосводоканал
Amount:9164988.98

Supplier:управляющие компании
Amount:9.263737435E7

Supplier:прочие
Amount:1.447185953E7

",278939774
60,Троицкий административный округ,Август,2016,5.996782114E7,"Supplier:Мосводоканал
Amount:6062865.38

Supplier:управляющие компании
Amount:4.180045831E7

Supplier:прочие
Amount:1.210449745E7

",278939775
61,Центральный административный округ,Сентябрь,2016,1042438615,"Supplier:ОАО «МОЭК»
Amount:3.5107642476E8

Supplier:Газпром межрегионгаз Москва
Amount:1.912694336E7

Supplier:Мосводоканал
Amount:1

Supplier:управляющие компании
Amount:2

Supplier:Ростелеком
Amount:3

Supplier:РСВО
Amount:8081575.73

Supplier:прочие
Amount:3.2513493623E8

",282191445
62,Северный административный округ,Сентябрь,2016,1428741988,"Supplier:ОАО «МОЭК»
Amount:5.2507443288E8

Supplier:Газпром межрегионгаз Москва
Amount:2.512617895E7

Supplier:Мосводоканал
Amount:1.5150118634E8

Supplier:управляющие компании
Amount:2.2738256022E8

Supplier:Ростелеком
Amount:5.371742289E7

Supplier:РСВО
Amount:1.27859467E7

Supplier:прочие
Amount:4.3315425992E8

",282191450
63,Северо-Восточный административный округ,Сентябрь,2016,1593413654,"Supplier:ОАО «МОЭК»
Amount:557500209

Supplier:Газпром межрегионгаз Москва
Amount:1.825154608E7

Supplier:Мосводоканал
Amount:1.6699666467E8

Supplier:управляющие компании
Amount:3.577794363E8

Supplier:Ростелеком
Amount:6.197746549E7

Supplier:РСВО
Amount:1.441143378E7

Supplier:прочие
Amount:4.1649689857E8

",282191455
64,Восточный административный округ,Сентябрь,2016,1817578094,"Supplier:ОАО «МОЭК»
Amount:6.2895712763E8

Supplier:Мосэнергосбыт
Amount:3.365139523E7

Supplier:Газпром межрегионгаз Москва
Amount:3.596005473E7

Supplier:Мосводоканал
Amount:1.8862558729E8

Supplier:управляющие компании
Amount:3.1245180222E8

Supplier:Ростелеком
Amount:7.130670226E7

Supplier:РСВО
Amount:1.408507695E7

Supplier:прочие
Amount:5.3253934715E8

",282191458
65,Юго-Восточный административный округ,Сентябрь,2016,1679395906,"Supplier:ОАО «МОЭК»
Amount:5.4711657236E8

Supplier:Мосэнергосбыт
Amount:4.555341358E7

Supplier:Газпром межрегионгаз Москва
Amount:2.296447399E7

Supplier:Мосводоканал
Amount:1.623427422E8

Supplier:управляющие компании
Amount:3.3296565347E8

Supplier:Ростелеком
Amount:1265122.85

Supplier:РСВО
Amount:1.255307645E7

Supplier:прочие
Amount:5.5464385068E8

",282191460
66,Южный административный округ,Сентябрь,2016,1883883893,"Supplier:ОАО «МОЭК»
Amount:7.2185946866E8

Supplier:Газпром межрегионгаз Москва
Amount:2.633520294E7

Supplier:Мосводоканал
Amount:201942950

Supplier:управляющие компании
Amount:4.4734886966E8

Supplier:Ростелеком
Amount:7.46540199E7

Supplier:РСВО
Amount:1.636836881E7

Supplier:прочие
Amount:3.9537501242E8

",282191463
67,Юго-Западный административный округ,Сентябрь,2016,1739564134,"Supplier:ОАО «МОЭК»
Amount:6.3489309941E8

Supplier:Газпром межрегионгаз Москва
Amount:1.753900775E7

Supplier:Мосводоканал
Amount:1.7246820755E8

Supplier:управляющие компании
Amount:4.2381774761E8

Supplier:Ростелеком
Amount:6.922075545E7

Supplier:РСВО
Amount:1.442715201E7

Supplier:прочие
Amount:4

",282192196
68,Западный административный округ,Сентябрь,2016,1423847820,"Supplier:ОАО «МОЭК»
Amount:4.8231471168E8

Supplier:Газпром межрегионгаз Москва
Amount:1.995825866E7

Supplier:Мосводоканал
Amount:1.4456329434E8

Supplier:управляющие компании
Amount:3.3916295744E8

Supplier:Ростелеком
Amount:5.535771881E7

Supplier:РСВО
Amount:1.212995039E7

Supplier:прочие
Amount:3.7036092782E8

",282192198
69,Северо-Западный административный округ,Сентябрь,2016,1033043233,"Supplier:ОАО «МОЭК»
Amount:3.508741291E8

Supplier:Газпром межрегионгаз Москва
Amount:1.386570084E7

Supplier:Мосводоканал
Amount:1

Supplier:управляющие компании
Amount:2.4964951175E8

Supplier:Ростелеком
Amount:4

Supplier:РСВО
Amount:9331584.22

Supplier:прочие
Amount:2.6203534098E8

",282192202
70,Зеленоградский административный округ,Сентябрь,2016,334071335,"Supplier:ОАО «МОЭК»
Amount:10581.74

Supplier:Газпром межрегионгаз Москва
Amount:14879

Supplier:Мосводоканал
Amount:3.703065841E7

Supplier:управляющие компании
Amount:8.860323773E7

Supplier:Ростелеком
Amount:1.409521096E7

Supplier:РСВО
Amount:3022386.65

Supplier:прочие
Amount:1.9116118021E8

",282192204
71,Новомосковский административный округ,Сентябрь,2016,141233130,"Supplier:Мосводоканал
Amount:1

Supplier:управляющие компании
Amount:4.778461734E7

Supplier:прочие
Amount:8.289815721E7

",282192207
72,Троицкий административный округ,Сентябрь,2016,61386340,"Supplier:Мосводоканал
Amount:6364837.42

Supplier:управляющие компании
Amount:1.760307606E7

Supplier:прочие
Amount:3.741842615E7

",282192209
73,Центральный административный округ,Октябрь,2016,1065523860,"Supplier:ОАО «МОЭК»
Amount:3.6561924814E8

Supplier:Газпром межрегионгаз Москва
Amount:1.908807964E7

Supplier:Мосводоканал
Amount:1.1267409636E8

Supplier:управляющие компании
Amount:3.401180483E8

Supplier:Ростелеком
Amount:3

Supplier:РСВО
Amount:8041555

Supplier:прочие
Amount:1.8960328667E8

",282192211
74,Северный административный округ,Октябрь,2016,1456834154,"Supplier:ОАО «МОЭК»
Amount:5.4600815156E8

Supplier:Газпром межрегионгаз Москва
Amount:2.515993616E7

Supplier:Мосводоканал
Amount:1.5886855599E8

Supplier:управляющие компании
Amount:4.115917027E8

Supplier:Ростелеком
Amount:5.378717353E7

Supplier:РСВО
Amount:1.283307663E7

Supplier:прочие
Amount:2.4858555644E8

",282192213
75,Северо-Восточный административный округ,Октябрь,2016,1635362938,"Supplier:ОАО «МОЭК»
Amount:5.9154974764E8

Supplier:Газпром межрегионгаз Москва
Amount:1.81937989E7

Supplier:Мосводоканал
Amount:1.7805242741E8

Supplier:управляющие компании
Amount:4.9760923828E8

Supplier:Ростелеком
Amount:6.173692532E7

Supplier:РСВО
Amount:1.43339811E7

Supplier:прочие
Amount:2.7388681933E8

",282192215
